date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:30	546/546	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:670e065c6f4b4ca4c8ce38327ae88980%22	https://praktio.com/robots.txt		(from )
20:47:30	53407/53407	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:94b3007d6f27db47a1ba46d17dbbd014%22	https://praktio.com/	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/index.html	(from )
20:47:31	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2012:47:29%20GMT	http://praktio.com/cdn/shop/t/35/assets/styles.css?v=173815735524747291715637346	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/cdn/shop/t/35/assets/styles.080f5.delayed	(from https://praktio.com/)
20:47:31	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2012:47:29%20GMT	http://praktio.com/cdn/shop/files/Favicon_32px_White_BG_32x32.png?v=1613491696	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/cdn/shop/files/Favicon_32px_White_BG_32x321ed2.png	(from https://praktio.com/)
20:47:31	405510/405510	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20May%202024%2022:13:55%20GMT	https://praktio.com/cdn/shop/t/35/assets/styles.css?v=173815735524747291715637346	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/cdn/shop/t/35/assets/styles80f5.css	(from https://praktio.com/)
20:47:32	2425/2425	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2009:21:06%20GMT	https://praktio.com/cdn/shop/files/Favicon_32px_White_BG_32x32.png?v=1613491696	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/cdn/shop/files/Favicon_32px_White_BG_32x321ed2.png	(from https://praktio.com/)
20:47:33	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2012:47:31%20GMT	http://praktio.com/cdn/shop/t/35/assets/app.js?v=148169607998115993951710950322	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/cdn/shop/t/35/assets/appb614.js	(from https://praktio.com/)
20:47:34	266504/266504	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2022:17:42%20GMT	https://praktio.com/cdn/shop/t/35/assets/app.js?v=148169607998115993951710950322	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/cdn/shop/t/35/assets/appb614.js	(from https://praktio.com/)
20:47:34	60059/60059	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:f972447324c8ec87d02a7b4145a52c27%22	https://praktio.com/pages/privacy-policy	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/pages/privacy-policy.html	(from https://praktio.com/)
20:47:35	35881/35881	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:5322415ed0b217688e6a74a3375a1b24%22	https://praktio.com/OPR/	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/OPR/index.html	(from https://praktio.com/)
20:47:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2017%20Jun%202024%2012:47:33%20GMT	https://www.googletagmanager.com/gtm.js?id=	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/www.googletagmanager.com/gtm.75445.delayed	(from https://praktio.com/)
20:47:36	2532/2532	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2017%20Jun%202024%2012:47:34%20GMT	http://js.hs-scripts.com/5653847.js	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/js.hs-scripts.com/5653847.js	(from https://praktio.com/)
20:47:37	82391/82391	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jun%202024%2021:32:39%20GMT	https://cdn.shopify.com/s/files/1/0400/7125/files/Praktio_Logo_Praktio_Only_white.png?v=1588801655	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/cdn.shopify.com/s/files/1/0400/7125/files/Praktio_Logo_Praktio_Only_whitedab8.png	(from https://praktio.com/)
20:47:37	35783/35783	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7210dd307649479f8dfebbc579da3d96%22	https://praktio.com/cart	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/cart.html	(from https://praktio.com/)
20:47:37	52589/52589	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7ea77f03f1e8c4650d63d0ae839076ce%22	https://praktio.com/pages/elearning	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/pages/elearning.html	(from https://praktio.com/)
20:47:38	92139/92139	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:41c17a0c66d998466875e44f032e435b%22	https://praktio.com/products/workshops	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/products/workshops.html	(from https://praktio.com/)
20:47:38	62085/62085	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:56198b2e48ffecc0a23e4576bef32cb9%22	https://praktio.com/pages/training-for-first-years	F:/website/Funix%20Software%20Engineer/WDU202x.1.0.VN/Asm%201%20mon%202/praktio.com/pages/training-for-first-years.html	(from https://praktio.com/)
